iter	Logloss
0	0.6304989744
1	0.5799070644
2	0.5395915814
3	0.5102711071
4	0.4857880141
5	0.4606906306
6	0.4432692159
7	0.4287436505
8	0.4172612076
9	0.4073051551
10	0.3990827418
11	0.3893992498
12	0.3810462045
13	0.3744745288
14	0.3698721621
15	0.3645507121
16	0.3605124155
17	0.3565642572
18	0.3528325555
19	0.3507612589
20	0.3480756879
21	0.3465481921
22	0.3437159379
23	0.3421850041
24	0.3407641298
25	0.3392225337
26	0.3376166061
27	0.3363528212
28	0.3351112751
29	0.3338577758
30	0.3332796168
31	0.3322013947
32	0.331532279
33	0.3309545543
34	0.3299507941
35	0.3291476377
36	0.3287496162
37	0.3283716343
38	0.3277891637
39	0.327459713
40	0.3270329326
41	0.3264936657
42	0.3261132137
43	0.3258658585
44	0.3255684833
45	0.3250554676
46	0.3247803799
47	0.3244772654
48	0.3241574924
49	0.3238951408
50	0.3236299291
51	0.3234179311
52	0.3230776418
53	0.3227505641
54	0.3224731306
55	0.3222824212
56	0.3220015939
57	0.3218105326
58	0.3216325052
59	0.3215212547
60	0.3213238448
61	0.3211921471
62	0.3209184593
63	0.3207989118
64	0.3206012125
65	0.32049709
66	0.3202890664
67	0.3201360191
68	0.3200279787
69	0.3199274376
70	0.3198562327
71	0.3196386548
72	0.3195313782
73	0.3194380306
74	0.3192856637
75	0.3192224213
76	0.3191187672
77	0.3190192668
78	0.3187689126
79	0.3186587711
80	0.318564831
81	0.318466862
82	0.3183851764
83	0.3182737887
84	0.31817714
85	0.3180514646
86	0.3179969233
87	0.3179559601
88	0.3178961508
89	0.3177605276
90	0.3176773144
91	0.3175502261
92	0.3174423019
93	0.3173098341
94	0.3172136935
95	0.3171061955
96	0.3170005635
97	0.3169250148
98	0.3167953694
99	0.3166880326
100	0.3165553918
101	0.3164770246
102	0.3163179736
103	0.3162580812
104	0.3161833745
105	0.3161128041
106	0.3158825022
107	0.3158195513
108	0.3156510742
109	0.3156026806
110	0.315497331
111	0.315463225
112	0.3153850147
113	0.3152808899
114	0.3152134408
115	0.3150611639
116	0.3150012928
117	0.3149404589
118	0.3148900973
119	0.3148372038
120	0.3147728603
121	0.3146930069
122	0.3146254908
123	0.3144944098
124	0.3144395283
125	0.3143888546
126	0.314326199
127	0.3142079494
128	0.3141588246
129	0.3139923569
130	0.3139380584
131	0.3138868087
132	0.3137666896
133	0.313711699
134	0.3136472706
135	0.3134500291
136	0.3132832031
137	0.3131527604
138	0.3130953468
139	0.3130263821
140	0.3129782745
141	0.3128578004
142	0.3128106203
143	0.3127564239
144	0.3127070818
145	0.3126285611
146	0.3125593501
147	0.3125013613
148	0.3124334973
149	0.3123723977
150	0.3122500821
151	0.3121124332
152	0.3120604923
153	0.3120074125
154	0.3119081321
155	0.3118475677
156	0.3117876855
157	0.3116722172
158	0.3116027809
159	0.3115476306
160	0.3114802627
161	0.3114314124
162	0.311387337
163	0.3113402912
164	0.311248818
165	0.3111799718
166	0.3110658652
167	0.3110057694
168	0.3108756622
169	0.3108047577
170	0.310742621
171	0.3106501225
172	0.310591137
173	0.3105298054
174	0.310445123
175	0.3103693521
176	0.3103013101
177	0.3102431313
178	0.3100955158
179	0.3100175802
180	0.3099448191
181	0.3098826022
182	0.3097840392
183	0.3096799976
184	0.3095762809
185	0.3094918407
186	0.3094224079
187	0.309343538
188	0.3092455165
189	0.3091695191
190	0.3090393536
191	0.3089340278
192	0.3088117523
193	0.3087424869
194	0.3086720658
195	0.3085859271
196	0.3085362424
197	0.3084737464
198	0.3084038754
199	0.308320555
200	0.3082468183
201	0.3081785377
202	0.3080993806
203	0.3080322594
204	0.3079553579
205	0.3078988115
206	0.3077748019
207	0.3076812438
208	0.3076027276
209	0.307528239
210	0.3074407252
211	0.3073831705
212	0.3073280861
213	0.307224044
214	0.3071477257
215	0.3070694227
216	0.3070024267
217	0.3069392347
218	0.3068788091
219	0.3067765322
220	0.3066698873
221	0.3066078786
222	0.3064946535
223	0.3063994252
224	0.3063408692
225	0.3062583529
226	0.3061629202
227	0.3060896806
228	0.3060319034
229	0.3059701957
230	0.3058892446
231	0.305776702
232	0.3057069203
233	0.3056321348
234	0.3055540821
235	0.3055115991
236	0.3054616752
237	0.3053972917
238	0.3053413672
239	0.3052378857
240	0.3051866472
241	0.3051166335
242	0.3050757587
243	0.304974072
244	0.3049147319
245	0.3048606808
246	0.3047851162
247	0.3047409635
248	0.3046742574
249	0.3046170222
250	0.3045519779
251	0.3044911561
252	0.3044184384
253	0.3043687945
254	0.304291068
255	0.3042183758
256	0.3041405106
257	0.3040807405
258	0.3039909992
259	0.3039277565
260	0.3038863843
261	0.3038064321
262	0.303746155
263	0.3036996617
264	0.3036518434
265	0.3036015999
266	0.3035368019
267	0.3034806599
268	0.3034146997
269	0.3033678331
270	0.3032992977
271	0.3032275242
272	0.3031630645
273	0.3031098468
274	0.303057977
275	0.3029968488
276	0.3029413454
277	0.3028676783
278	0.3028166695
279	0.3027527645
280	0.3026675503
281	0.3026145911
282	0.3025408954
283	0.302461373
284	0.302417392
285	0.3023653136
286	0.3023123704
287	0.3022436552
288	0.3021916194
289	0.3021381813
290	0.3020655122
291	0.302005828
292	0.3019484626
293	0.3018970984
294	0.3018351157
295	0.3017864453
296	0.3017210966
297	0.3016773592
298	0.3016180447
299	0.3015472559
300	0.3014894191
301	0.3014351488
302	0.3013763742
303	0.301284136
304	0.3012395144
305	0.3011769792
306	0.3011286539
307	0.3010675948
308	0.3010123409
309	0.3009514851
310	0.3009056632
311	0.3008465628
312	0.3007902275
313	0.3007269368
314	0.3006727231
315	0.3006210529
